nextPacmanMove,totalTime ,score ,pacmanCurrentNodeIndex ,pacmanLastMoveMade ,ghost1NodeIndex ,ghost1EdibleTime ,ghost1LairTime ,ghost1LastMove ,ghost2NodeIndex ,ghost2EdibleTime ,ghost2LairTime ,ghost2LastMove ,ghost3NodeIndex ,ghost3EdibleTime,ghost3LairTime ,ghost3LastMove ,ghost4NodeIndex ,ghost4EdibleTime ,ghost4LairTime ,ghost4LastMove ,timeOfLastGlobalReversal ,pacmanWasEaten ,ghost1Eaten ,ghost2Eaten ,ghost3Eaten  ,ghost4Eaten ,,,,,,,,,,
RIGHT,1201,3310,972,UP,723,55,0,RIGHT,38,55,0,RIGHT,791,0,0,DOWN,1032,55,0,DOWN,1056,false,false,false,false,false,20,60,120,55,165,41,13,100,100,1
DOWN,1213,3310,984,RIGHT,768,43,0,DOWN,44,43,0,RIGHT,839,0,0,LEFT,1068,43,0,DOWN,1056,false,false,false,false,false,0,30,90,47,161,41,7,94,94,1
RIGHT,1249,3710,1259,DOWN,854,7,0,RIGHT,106,7,0,DOWN,1067,0,0,DOWN,1292,0,13,NEUTRAL,1056,false,false,false,false,false,0,0,400,65,155,55,-1,112,112,1
UP,1261,3710,1271,RIGHT,898,0,0,DOWN,215,0,0,RIGHT,1102,0,0,LEFT,1292,0,1,NEUTRAL,1056,false,false,false,false,false,0,0,400,44,134,65,-1,109,109,1
DOWN,1283,3710,153,LEFT,1292,0,38,NEUTRAL,1292,0,58,NEUTRAL,1292,0,78,NEUTRAL,1292,0,98,NEUTRAL,1056,false,false,false,false,false,0,0,0,-1,-1,-1,-1,92,92,1
DOWN,1299,3710,348,DOWN,1292,0,22,NEUTRAL,1292,0,42,NEUTRAL,1292,0,62,NEUTRAL,1292,0,82,NEUTRAL,1056,false,false,false,false,false,0,0,0,-1,-1,-1,-1,95,95,1
DOWN,1311,3710,456,DOWN,1292,0,10,NEUTRAL,1292,0,30,NEUTRAL,1292,0,50,NEUTRAL,1292,0,70,NEUTRAL,1056,false,false,false,false,false,0,0,0,-1,-1,-1,-1,98,98,1
LEFT,1335,3740,691,DOWN,512,0,0,RIGHT,1292,0,6,NEUTRAL,1292,0,26,NEUTRAL,1292,0,46,NEUTRAL,1056,false,false,false,false,false,0,30,30,77,-1,-1,-1,109,109,1
DOWN,1360,3750,753,LEFT,537,0,0,RIGHT,543,0,0,DOWN,1292,0,1,NEUTRAL,1292,0,21,NEUTRAL,1056,false,false,false,false,false,10,10,40,27,47,-1,-1,60,60,1
LEFT,1372,3780,883,DOWN,576,0,0,DOWN,616,0,0,DOWN,509,0,0,RIGHT,1292,0,9,NEUTRAL,1056,false,false,false,false,false,30,40,50,27,49,67,-1,72,72,1
DOWN,1396,3840,859,LEFT,801,0,0,DOWN,727,0,0,LEFT,640,0,0,DOWN,483,0,0,LEFT,1056,false,false,false,false,false,30,70,100,27,25,43,75,78,78,1
LEFT,1408,3870,996,DOWN,919,0,0,DOWN,767,0,0,DOWN,735,0,0,LEFT,574,0,0,DOWN,1056,false,false,false,false,false,30,70,130,27,49,43,75,89,89,1
LEFT,1420,3890,984,LEFT,1011,0,0,LEFT,845,0,0,LEFT,784,0,0,DOWN,663,0,0,DOWN,1056,false,false,false,false,false,20,60,120,27,47,43,75,94,94,1
DOWN,1432,3890,972,LEFT,1081,0,0,DOWN,885,0,0,DOWN,852,0,0,RIGHT,713,0,0,RIGHT,1056,false,false,false,false,false,0,30,90,45,23,43,51,100,100,1
LEFT,1468,3890,1223,DOWN,1250,0,0,LEFT,1126,0,0,DOWN,903,0,0,DOWN,628,0,0,UP,1056,false,false,false,false,false,0,0,0,27,23,91,117,127,127,1
