totalTime,score,pacmanCurrentNodeIndex,ghost1NodeIndex,ghost1EdibleTime,ghost1LairTime,ghost2NodeIndex,ghost2EdibleTime,ghost2LairTime,ghost3NodeIndex,ghost3EdibleTime,ghost3LairTime,ghost4NodeIndex,ghost4EdibleTime,ghost4LairTime,timeOfLastGlobalReversal,pacmanWasEaten,ghost1Eaten,ghost2Eaten,ghost3Eaten,ghost4Eaten,pacmanLastMoveMade_DOWN,pacmanLastMoveMade_LEFT,pacmanLastMoveMade_RIGHT,pacmanLastMoveMade_UP,ghost1LastMove_DOWN,ghost1LastMove_LEFT,ghost1LastMove_NEUTRAL,ghost1LastMove_RIGHT,ghost1LastMove_UP,ghost2LastMove_DOWN,ghost2LastMove_LEFT,ghost2LastMove_NEUTRAL,ghost2LastMove_RIGHT,ghost2LastMove_UP,ghost3LastMove_DOWN,ghost3LastMove_LEFT,ghost3LastMove_NEUTRAL,ghost3LastMove_RIGHT,ghost3LastMove_UP,ghost4LastMove_DOWN,ghost4LastMove_LEFT,ghost4LastMove_NEUTRAL,ghost4LastMove_RIGHT,ghost4LastMove_UP
267,820,728,1005,103,0,1292,0,21,15,103,0,288,103,0,170,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
291,820,859,1017,79,0,501,0,0,3,79,0,149,79,0,170,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
303,820,996,919,67,0,513,0,0,91,67,0,133,67,0,170,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
315,850,1008,895,55,0,525,0,0,127,55,0,97,55,0,170,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
327,880,1020,801,43,0,537,0,0,148,43,0,2,43,0,170,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
339,900,883,777,31,0,423,0,0,154,31,0,8,31,0,170,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
351,910,753,666,19,0,287,0,0,160,19,0,14,19,0,170,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
375,1370,540,1292,0,17,96,0,0,86,0,0,128,0,0,170,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
387,1400,399,1292,0,5,69,0,0,10,0,0,156,0,0,170,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
403,1440,237,487,0,0,107,0,0,109,0,0,115,0,0,170,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
